2eb5240 was Austin, 2 minutes ago, message: working on verification
2d4a72b was Austin, 9 hours ago, message: 4/21 some more changes outside verification
c40e630 was Austin, 9 hours ago, message: more tex edited
8badf40 was Austin, 11 hours ago, message: pdf test creation
597d814 was Austin, 11 hours ago, message: Tex edit
304e7e8 was IStallcup, 14 hours ago, message: small changes to concurrency
5336067 was IStallcup, 15 hours ago, message: Merge branch 'master' of https://github.com/Boeinco/CS444
6fa3edf was IStallcup, 15 hours ago, message: added qemu flag explanation
5ffd876 was Isaac Stallcup, 15 hours ago, message: Create .gitignore
66d601f was Austin, 23 hours ago, message: Writeup work
53de57c was Austin, 23 hours ago, message: fixed command arg
cfb1942 was Austin, 2 days ago, message: writeup updated
401f05e was Austin, 2 days ago, message: writeup updated
8425628 was IStallcup, 2 days ago, message: Added some more stuff
cf27ae5 was IStallcup, 2 days ago, message: added some writeup formatting
6e073c6 was Austin, 2 days ago, message: Template tex file done
dae7e2e was Austin, 2 days ago, message: concurrency mostly done
4d7f1cc was Austin, 2 days ago, message: temp files
3e7be70 was Austin, 3 days ago, message: some files in
599f66e was Austin, 3 days ago, message: started concurrency
c6a4f0c was Austin, 3 days ago, message: Testing directories
8e404a9 was Austin Nguyen, 3 days ago, message: first commit
